Table 1,,,,,,,,
serialNo,car_brand,car_model,model_name_th,nickname,item_name,fitment_detail,standard_price,
IC-0000001,AUDI,Q5,คิว5,โฉมปี 2008-2016,ไส้กรองน้ำมันเครื่อง,-,,
IC-0000002,BMW,SERIES 5,ซีรี่ย์5,โฉมปี 2003-2010 (E60),ไส้กรองน้ำมันเครื่อง,-,,
IC-0000003,BMW,SERIES 5,ซีรี่ย์5,โฉมปี 2010-2017 (F10),ไส้กรองน้ำมันเครื่อง,-,,
JA-0000001,BMW,SERIES 5,ซีรี่ย์5,โฉมปี 2010-2017 (F10),ใบปัดน้ำฝน,-,,
IC-0000009,BMW,SERIES 3,ซีรี่ย์3,โฉมปี 2011-2018 (F30),ไส้กรองน้ำมันเครื่อง,-,,
AA-0000071,BMW,SERIES 3,ซีรี่ย์3,โฉมปี 1995-1998 (E36),ผ้าดิสเบรค,หลัง,"1,300.00",
AA-0000139,BMW,SERIES 3,ซีรี่ย์3,โฉมปี 1995-1998 (E36),ผ้าดิสเบรค,หน้า,"1,300.00",
IC-0000006,BMW,X1,เอ็กซ์1,โฉมปี 2009-2015 (E84),ไส้กรองน้ำมันเครื่อง,-,,
AC-0000091,BMW,SERIES 3,ซีรี่ย์3,โฉมปี 1995-1998 (E36),จานดิสเบรค,หน้า,"1,300.00",
AA-0000072,BMW,SERIES 3,ซีรี่ย์3,โฉมปี 1999-2006 (E46),ผ้าดิสเบรค,หลัง,"1,500.00",
AA-0000129,BMW,SERIES 3,ซีรี่ย์3,โฉมปี 1999-2006 (E46),ผ้าดิสเบรค,หน้า,"1,600.00",
IC-0000004,MERCEDES-BENZ,"E-CLASS , E200","อีคลาส, อี200",โฉมปี 2003-2009 (W211),ไส้กรองน้ำมันเครื่อง,-,,
AA-0000075,MERCEDES-BENZ,"E-CLASS , E200","อีคลาส, อี200",โฉมปี 2003-2009 (W211),ผ้าดิสเบรค,หน้า,"1,900.00",
AL-0000003,MERCEDES-BENZ,"E-CLASS , E200","อีคลาส, อี200",โฉมปี 2003-2009 (W211),สายไฟเตือนผ้าเบรค,-,250.00,
DF-0700316,MERCEDES-BENZ,"E-CLASS , E200","อีคลาส, อี200",โฉมปี 2003-2009 (W211),ลูกหมากกันโคลง,หน้า,850.00,
